misspecified,design,accuracy,stratified,n_scenarios,mean_patients,sd_across_scenarios,ci_lo,ci_hi,censored_frac,gap
True,SEEDA Plateau,0.4,True,27,202.44444444444446,203.99553790997365,132.10555555555555,274.74722222222215,0.37037037037037035,0.0
True,SEEDA Plateau,0.5,True,27,209.88888888888889,202.67980304929884,135.5361111111111,280.03888888888883,0.4074074074074074,0.0
True,SEEDA Plateau,0.6,True,27,219.11111111111111,201.93722050588156,145.5388888888889,295.8888888888889,0.4074074074074074,0.0
True,SEEDA Plateau,0.7,True,27,245.55555555555554,197.30069463274603,176.775,322.4527777777778,0.48148148148148145,0.0
True,SEEDA Plateau,0.8,True,27,290.1111111111111,186.92045476687778,222.33333333333334,358.9833333333333,0.5555555555555556,0.0
True,SEEDA Plateau,0.9,True,27,345.55555555555554,165.61153186653246,284.5444444444444,400.6666666666667,0.6666666666666666,0.0
True,SEEDA Plateau (ours),0.0,True,27,21.0,0.0,21.0,21.0,0.0,0.0
True,SEEDA Plateau (ours),0.1,True,27,144.22222222222223,188.65706236313332,80.65555555555557,218.2277777777778,0.25925925925925924,0.0
True,SEEDA Plateau (ours),0.2,True,27,154.22222222222223,184.06423070667753,88.66388888888889,220.79999999999998,0.25925925925925924,0.0
True,SEEDA Plateau (ours),0.3,True,27,185.11111111111111,182.2300602858784,121.08888888888889,252.44444444444446,0.37037037037037035,0.0
True,SEEDA Plateau (ours),0.4,True,27,221.33333333333334,194.1716132307073,152.87222222222223,289.3472222222222,0.4074074074074074,0.0
True,SEEDA Plateau (ours),0.5,True,27,248.11111111111111,199.1449671689394,175.2111111111111,320.3361111111111,0.48148148148148145,0.0
True,SEEDA Plateau (ours),0.6,True,27,268.3333333333333,197.44561081667334,199.6611111111111,341.55555555555554,0.5185185185185185,0.0
True,SEEDA Plateau (ours),0.7,True,27,280.77777777777777,191.9571934118753,209.9638888888889,349.3361111111111,0.5185185185185185,0.0
True,SEEDA Plateau (ours),0.8,True,27,302.6666666666667,179.85442831527777,234.88333333333333,368.1222222222222,0.5555555555555556,0.0
True,SEEDA Plateau (ours),0.9,True,27,332.3333333333333,166.92167670451363,269.22222222222223,392.22222222222223,0.7037037037037037,0.0
True,SEEDA Plateau (fixed),0.0,True,27,21.0,0.0,21.0,21.0,0.0,0.0
True,SEEDA Plateau (fixed),0.1,True,27,215.77777777777777,204.05755849633988,142.17777777777778,294.22777777777776,0.4074074074074074,0.0
True,SEEDA Plateau (fixed),0.2,True,27,231.11111111111111,193.93284589761663,161.42777777777778,303.22777777777776,0.4074074074074074,0.0
True,SEEDA Plateau (fixed),0.3,True,27,246.88888888888889,186.10942466387337,175.33333333333334,313.5722222222222,0.4074074074074074,0.0
True,SEEDA Plateau (fixed),0.4,True,27,266.8888888888889,181.71391998949537,200.98055555555555,336.56666666666666,0.4444444444444444,0.0
True,SEEDA Plateau (fixed),0.5,True,27,291.1111111111111,177.43846893052887,218.63888888888889,352.90555555555557,0.5185185185185185,0.0
