design,comparison,true_gap,cohort,ratio_mean,ci_lo,ci_hi
Algorithm 2,Doses 2–3,0.25,17,6.352021478529187,6.261002314351698,6.443411943716777
Algorithm 2,Doses 2–3,0.25,18,6.251918789634873,6.160187685743285,6.346021140320072
Algorithm 2,Doses 2–3,0.25,19,6.161796166180147,6.068892162614423,6.258589122330602
Algorithm 2,Doses 2–3,0.25,20,6.061135031717489,5.966075474612594,6.1605457849474865
Algorithm 2,Doses 2–3,0.25,21,5.972344186094917,5.877664703936978,6.072428936202031
Algorithm 2,Doses 2–3,0.25,22,5.879018534315736,5.7841481822379714,5.979408806836086
Algorithm 2,Doses 2–3,0.25,23,5.8157510591515695,5.7190809444101065,5.919576865958818
Algorithm 2,Doses 2–3,0.25,24,5.745820423960583,5.645858481016479,5.84782370148707
Algorithm 2,Doses 2–3,0.25,25,5.66460330499049,5.566396985160848,5.768635857548752
Algorithm 2,Doses 2–3,0.25,26,5.60686282889886,5.508150971331613,5.7118298984914055
Algorithm 2,Doses 2–3,0.25,27,5.554085156088974,5.455084738554651,5.6589340953187115
Algorithm 2,Doses 2–3,0.25,28,5.490172100619682,5.389071186856027,5.595825000798438
Algorithm 2,Doses 2–3,0.25,29,5.430533162047035,5.330130953043975,5.539136974724432
Algorithm 2,Doses 2–3,0.25,30,5.382771421859519,5.28178717556915,5.494003256939538
Algorithm 2,Doses 2–3,0.25,31,5.334115615481102,5.232970549801906,5.448096424984093
Algorithm 2,Doses 2–3,0.25,32,5.28578156021332,5.182434362603903,5.401781198935987
Algorithm 2,Doses 2–3,0.25,33,5.2361490471672205,5.1336665062820215,5.351274623591166
Algorithm 2,Doses 2–3,0.25,34,5.189596764867797,5.082790127276406,5.304420676598744
Algorithm 2,Doses 2–3,0.25,35,5.141311977092528,5.036929902771784,5.258432385178763
Algorithm 2,Doses 2–3,0.25,36,5.096102890814024,4.99056140887178,5.213997337018955
Algorithm 2,Doses 2–3,0.25,37,5.052705246224414,4.948382333068708,5.169782335515495
Algorithm 2,Doses 2–3,0.25,38,5.012931160199264,4.911470127627123,5.126879160650097
Algorithm 2,Doses 2–3,0.25,39,4.97860609126077,4.876588892108084,5.0914110447208785
Algorithm 2,Doses 2–3,0.25,40,4.938620575490123,4.834767279739912,5.05406298373772
Algorithm 2,Doses 2–3,0.25,41,4.899432271634617,4.796065146762359,5.015065823503987
Algorithm 2,Doses 2–3,0.25,42,4.861328196730399,4.757302073264738,4.967894835591436
Algorithm 2,Doses 2–3,0.25,43,4.82157233056539,4.717565408484326,4.928110205044164
Algorithm 2,Doses 2–3,0.25,44,4.786369128691409,4.682408282874052,4.894932882181387
Algorithm 2,Doses 2–3,0.25,45,4.751966166219396,4.647132961897991,4.86117828827318
Algorithm 2,Doses 2–3,0.25,46,4.723469421788265,4.619237763432291,4.835629935448779
Algorithm 2,Doses 2–3,0.25,47,4.688170046656964,4.585921852547321,4.800056667196561
Algorithm 2,Doses 2–3,0.25,48,4.659881391882127,4.558854229292,4.770042542392962
Algorithm 2,Doses 2–3,0.25,49,4.625893160616622,4.5224781991974305,4.738311634601061
Algorithm 2,Doses 2–3,0.25,50,4.592606982245014,4.48976121914568,4.703437971376499
Algorithm 2,Doses 2–3,0.25,51,4.559871555830215,4.456622488905981,4.668044827381447
Algorithm 2,Doses 2–3,0.25,52,4.528765037791862,4.426532798949612,4.632804909395405
Algorithm 2,Doses 2–3,0.25,53,4.499146188760219,4.394788025299237,4.605514294273391
Algorithm 2,Doses 2–3,0.25,54,4.466406394706616,4.362170419104669,4.571823846018388
Algorithm 2,Doses 2–3,0.25,55,4.438451280408873,4.334211441037827,4.541818667659752
Algorithm 2,Doses 2–3,0.25,56,4.4090555193338785,4.304112582513624,4.513476489969518
Algorithm 2,Doses 2–3,0.25,57,4.379220939520014,4.273026208098309,4.483186473371735
Algorithm 2,Doses 2–3,0.25,58,4.349056952282187,4.244756066247653,4.453577510878721
Algorithm 2,Doses 2–3,0.25,59,4.325957640432338,4.224248827125156,4.429003394635651
Algorithm 2,Doses 2–3,0.25,60,4.294685226936949,4.195074522975711,4.397466621116737
Algorithm 2,Doses 2–3,0.25,61,4.267369169846572,4.1696673658260694,4.365793013684722
Algorithm 2,Doses 2–3,0.25,62,4.241915438941884,4.144858397869921,4.339954908388769
Algorithm 2,Doses 2–3,0.25,63,4.211298484334733,4.114313575979506,4.308144657261407
Algorithm 2,Doses 2–3,0.25,64,4.189340252821509,4.094753016624079,4.287846765379764
Algorithm 2,Doses 2–3,0.25,65,4.162781256325148,4.068155282408972,4.259407900835288
Algorithm 2,Doses 2–3,0.25,66,4.135708458257888,4.043322431655907,4.232653643049384
Algorithm 2,Doses 2–3,0.25,67,4.114738016184397,4.0206744835299,4.21238335675359
Algorithm 2,Doses 2–3,0.25,68,4.093691390181937,4.000114721987123,4.190576929713717
Algorithm 2,Doses 2–3,0.25,69,4.07056307045818,3.978800560510219,4.168037707489257
Algorithm 2,Doses 2–3,0.25,70,4.049114931254571,3.958216868824392,4.144125350942861
Algorithm 2,Doses 2–3,0.25,71,4.029854671502333,3.9382151989584386,4.1257754007948835
Algorithm 2,Doses 2–3,0.25,72,4.009194674356015,3.918146206814664,4.104394809480127
Algorithm 2,Doses 2–3,0.25,73,3.9918363175446823,3.902684405159439,4.087808301225043
Algorithm 2,Doses 2–3,0.25,74,3.972619990744368,3.882504508194579,4.069545753751922
Algorithm 2,Doses 2–3,0.25,75,3.9532771394858113,3.862592553691516,4.053026069688586
Algorithm 2,Doses 2–3,0.25,76,3.930958411259141,3.8415757060650964,4.030824378151279
Algorithm 2,Doses 2–3,0.25,77,3.9133184261716663,3.823618812829459,4.012795208800604
Algorithm 2,Doses 2–3,0.25,78,3.894214793241594,3.8042058662698657,3.9941038958723443
Algorithm 2,Doses 2–3,0.25,79,3.8765877790107277,3.787157162892618,3.9777530940407786
Algorithm 2,Doses 2–3,0.25,80,3.8582267783749793,3.7684386154660094,3.9590674366800864
Algorithm 2,Doses 2–3,0.25,81,3.841129302981618,3.7520563522129478,3.940368373521446
Algorithm 2,Doses 2–3,0.25,82,3.826885812227217,3.738107318314906,3.9263205654844366
Algorithm 2,Doses 2–3,0.25,83,3.81367044136069,3.7254874542987126,3.9123853336248784
Algorithm 2,Doses 2–3,0.25,84,3.80142598410428,3.7132800458979633,3.8992963115813333
Algorithm 2,Doses 2–3,0.25,85,3.781373427755243,3.6943954210672985,3.878732287029718
Algorithm 2,Doses 2–3,0.25,86,3.7653142731563825,3.6806825053025607,3.864006479634083
Algorithm 2,Doses 2–3,0.25,87,3.748666442560112,3.6629594398030885,3.8443128022515545
Algorithm 2,Doses 2–3,0.25,88,3.7353351117526556,3.6509505235455157,3.8283182755850285
Algorithm 2,Doses 2–3,0.25,89,3.7207783858295254,3.6358368340122116,3.8134859835776367
Algorithm 2,Doses 2–3,0.25,90,3.705110488980533,3.6202478633695305,3.7955585271981036
Algorithm 2,Doses 2–3,0.25,91,3.690863008195372,3.606313098435976,3.7816233735880043
Algorithm 2,Doses 2–3,0.25,92,3.673976735774701,3.591344391210649,3.76596011582853
Algorithm 2,Doses 2–3,0.25,93,3.6541389553063666,3.573376239871158,3.7436459085992118
Algorithm 2,Doses 2–3,0.25,94,3.6381090474114015,3.5549535608015392,3.7258453984224973
Algorithm 2,Doses 2–3,0.25,95,3.6212103098780073,3.5395572687946397,3.7070442936086643
Algorithm 2,Doses 2–3,0.25,96,3.6090012589872127,3.526968323039986,3.6933246884165896
Algorithm 2,Doses 2–3,0.25,97,3.5959606159561774,3.5165632332588843,3.6796318580274923
Algorithm 2,Doses 2–3,0.25,98,3.581347327719348,3.503530979476122,3.6652279861621504
Algorithm 2,Doses 2–3,0.25,99,3.5690203341365043,3.491542177465724,3.6526352307844325
Algorithm 2,Doses 2–3,0.25,100,3.5571120872822757,3.479213903575338,3.6410821281110715
MATLAB,Doses 1–2,0.24999999999999997,1,,,
MATLAB,Doses 1–2,0.24999999999999997,2,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,3,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,4,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,5,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,6,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,7,1.7167728210315,1.7167728210314777,1.7167728210314783
MATLAB,Doses 1–2,0.24999999999999997,8,1.2139417035081306,1.2139417035081161,1.2139417035081166
MATLAB,Doses 1–2,0.24999999999999997,9,1.20302634330387,1.1999076689597825,1.2059222551947828
MATLAB,Doses 1–2,0.24999999999999997,10,1.192055598768093,1.1872929441381153,1.1968107184958305
MATLAB,Doses 1–2,0.24999999999999997,11,1.16865827735605,1.161972788614765,1.175340881843927
MATLAB,Doses 1–2,0.24999999999999997,12,1.1211447044640006,1.1129684236415354,1.1303071109635336
MATLAB,Doses 1–2,0.24999999999999997,13,1.0824218230245766,1.0735983486570129,1.0914863330800115
MATLAB,Doses 1–2,0.24999999999999997,14,1.057764179480557,1.048221870878438,1.0682007857784206
MATLAB,Doses 1–2,0.24999999999999997,15,1.0338725065067391,1.0236785679281055,1.0447853312490651
MATLAB,Doses 1–2,0.24999999999999997,16,1.015365935176736,1.0045222775914748,1.0274865934772448
MATLAB,Doses 1–2,0.24999999999999997,17,1.0026961907225975,0.9915916923248932,1.0151019128966943
MATLAB,Doses 1–2,0.24999999999999997,18,0.9871368666690222,0.9756881421706861,0.9999853191878861
MATLAB,Doses 1–2,0.24999999999999997,19,0.974181669712496,0.9622349904997767,0.9876464085662489
MATLAB,Doses 1–2,0.24999999999999997,20,0.9642372336487913,0.9514211060775297,0.9778421987093204
MATLAB,Doses 1–2,0.24999999999999997,21,0.9534426958699368,0.9399296252074159,0.9669280017580552
MATLAB,Doses 1–2,0.24999999999999997,22,0.9434443258444469,0.9297193096179425,0.9576270602184227
MATLAB,Doses 1–2,0.24999999999999997,23,0.9362257063741191,0.9223113217699671,0.9509881931783893
MATLAB,Doses 1–2,0.24999999999999997,24,0.9295357727954912,0.9152724505531155,0.944708985674673
MATLAB,Doses 1–2,0.24999999999999997,25,0.9222690375095545,0.9077690554934336,0.9375523942749733
MATLAB,Doses 1–2,0.24999999999999997,26,0.916210542375734,0.9014098354829583,0.9314382057011419
MATLAB,Doses 1–2,0.24999999999999997,27,0.9107066818788543,0.896155778188558,0.9261439678118474
MATLAB,Doses 1–2,0.24999999999999997,28,0.9055926157954461,0.8907664368811269,0.9213346270386178
MATLAB,Doses 1–2,0.24999999999999997,29,0.8996403762472615,0.8844296103312167,0.9160196032442457
MATLAB,Doses 1–2,0.24999999999999997,30,0.894948520884886,0.8798177052066295,0.9114328672649058
MATLAB,Doses 1–2,0.24999999999999997,31,0.8910360535297502,0.8751319953402995,0.9073198962558718
MATLAB,Doses 1–2,0.24999999999999997,32,0.8876350159707155,0.8719565370642559,0.9039528477122732
MATLAB,Doses 1–2,0.24999999999999997,33,0.8839095319910291,0.8677536787641454,0.9007510452087936
MATLAB,Doses 1–2,0.24999999999999997,34,0.8807080286491661,0.8648050680410915,0.8970871505339605
MATLAB,Doses 1–2,0.24999999999999997,35,0.8779758110393348,0.8619314325344333,0.8944054091901449
MATLAB,Doses 1–2,0.24999999999999997,36,0.8748672010194851,0.8585194202072496,0.8912584261251749
MATLAB,Doses 1–2,0.24999999999999997,37,0.8723586940162072,0.8557069428776582,0.8887274443896231
MATLAB,Doses 1–2,0.24999999999999997,38,0.8697192792668431,0.8527959223502641,0.8866960871139626
MATLAB,Doses 1–2,0.24999999999999997,39,0.8671485871633221,0.8502797471162608,0.8843538107516284
MATLAB,Doses 1–2,0.24999999999999997,40,0.8649506393982559,0.8479443117982706,0.882052799050748
MATLAB,Doses 1–2,0.24999999999999997,41,0.862702778553369,0.8456372585889915,0.879860980522391
MATLAB,Doses 1–2,0.24999999999999997,42,0.8604341187854925,0.8430974068715871,0.8777963161203426
MATLAB,Doses 1–2,0.24999999999999997,43,0.8577028840199233,0.8401394643518175,0.8752142106552456
MATLAB,Doses 1–2,0.24999999999999997,44,0.8553882231966666,0.837828480014723,0.8734019774411309
MATLAB,Doses 1–2,0.24999999999999997,45,0.8531254852657315,0.8358572707548481,0.8710181353555457
MATLAB,Doses 1–2,0.24999999999999997,46,0.8511245719417092,0.8336761610107668,0.8690868102548465
MATLAB,Doses 1–2,0.24999999999999997,47,0.8495960961184582,0.8321133057298904,0.8677018653590368
MATLAB,Doses 1–2,0.24999999999999997,48,0.847966217754181,0.8304031299317151,0.8661983514363908
MATLAB,Doses 1–2,0.24999999999999997,49,0.8465459573547314,0.8287899590759872,0.8647482863245118
MATLAB,Doses 1–2,0.24999999999999997,50,0.8448704685795464,0.8273222645906654,0.8630454103015877
